deso,swedish,foreign,total
0114A0010,669,194,863
0114C1010,1133,429,1562
0114C1020,1132,487,1619
0114C1030,1718,609,2327
0114C1040,1046,1279,2325
0114C1050,1644,449,2093
0114C1060,1652,1477,3129
0114C1070,1050,601,1651
0114C1080,853,1639,2492
0114C1090,869,2108,2977
0114C1100,1036,790,1826
0114C1110,1308,940,2248
0114C1120,1289,962,2251
0114C1130,971,1104,2075
0114C1140,2307,973,3280
0114C1150,1165,1489,2654
0114C1160,1294,731,2025
0114C1170,917,749,1666
0114C1180,669,396,1065
0114C1190,1153,868,2021
0114C1200,742,2029,2771
0114C1210,849,1752,2601
0114C1220,888,853,1741
0115A0010,1722,463,2185
0115A0020,976,256,1232
0115A0030,1102,154,1256
0115A0040,1203,279,1482
0115B2010,1219,225,1444
0115B3010,950,215,1165
0115C1010,2151,469,2620
0115C1020,2003,351,2354
0115C1030,1054,231,1285
0115C1040,1817,305,2122
0115C1050,2250,498,2748
0115C1060,1620,553,2173
0115C1070,1337,1036,2373
0115C1080,1193,282,1475
0115C1090,933,415,1348
0115C1100,2030,486,2516
0115C1110,1453,536,1989
0115C1120,1442,374,1816
0115C1130,1002,266,1268
0117A0010,594,116,710
0117A0020,1787,311,2098
0117A0030,1961,425,2386
0117C1010,1424,256,1680
0117C1020,1346,292,1638
0117C1030,2283,372,2655
0117C1040,2345,290,2635
0117C1050,2061,642,2703
0117C1060,2229,476,2705
0117C1070,1919,422,2341
0117C1080,2440,507,2947
0117C1090,1995,570,2565
0117C1100,1867,927,2794
0117C1110,1346,1209,2555
0117C1120,1235,578,1813
0117C1130,1382,732,2114
0117C1140,1565,785,2350
0117C1150,611,239,850
0117C1160,1688,560,2248
0117C1170,1570,390,1960
0117C1180,1128,318,1446
0117C1190,1343,371,1714
0117C1200,1812,419,2231
0120A0010,1941,279,2220
0120C1010,1550,335,1885
0120C1020,1431,281,1712
0120C1030,1660,220,1880
0120C1040,1954,413,2367
0120C1050,1243,437,1680
0120C1060,1924,320,2244
0120C1070,717,101,818
0120C1080,1466,341,1807
0120C1090,1820,228,2048
0120C1100,2511,404,2915
0120C1110,2707,636,3343
0120C1120,1615,348,1963
0120C1130,1478,392,1870
0120C1140,1912,514,2426
0120C1150,1338,283,1621
0120C1160,1508,206,1714
0120C1170,1231,270,1501
0120C1180,1136,812,1948
0120C1190,1609,517,2126
0120C1200,1290,274,1564
0120C1210,1702,322,2024
0120C1220,1154,190,1344
0120C1230,1134,303,1437
0123C1010,1498,890,2388
0123C1020,1244,684,1928
0123C1030,1190,602,1792
0123C1040,1235,398,1633
0123C1050,1347,643,1990
0123C1060,1538,684,2222
0123C1070,1462,608,2070
0123C1080,1158,469,1627
0123C1090,1607,1187,2794
0123C1100,1485,723,2208
0123C1110,1548,569,2117
0123C1120,1295,547,1842
0123C1130,223,1314,1537
0123C1140,2016,3995,6011
0123C1150,1208,1007,2215
0123C1160,528,1455,1983
0123C1170,110,1012,1122
0123C1180,1285,664,1949
0123C1190,451,1573,2024
0123C1200,596,774,1370
0123C1210,326,1512,1838
0123C1220,1310,2247,3557
0123C1230,947,1477,2424
0123C1240,894,915,1809
0123C1250,454,1126,1580
0123C1260,897,2074,2971
0123C1270,1440,755,2195
0123C1280,381,715,1096
0123C1290,676,1663,2339
0123C1300,1091,927,2018
0123C1310,1041,509,1550
0123C1320,1676,1014,2690
0123C1330,1409,517,1926
0123C1340,1194,1086,2280
0123C1350,1141,1203,2344
0123C1360,1395,932,2327
0123C1370,578,1321,1899
0123C1380,682,323,1005
0123C1390,1346,793,2139
0123C1400,1855,796,2651
0125A0010,821,164,985
0125A0020,1311,385,1696
0125A0030,639,146,785
0125A0040,1560,522,2082
0125B2010,1267,290,1557
0125B2020,2066,416,2482
0125B2030,1052,146,1198
0125B3010,656,169,825
0125B3020,1171,187,1358
0125C1010,1426,186,1612
0125C1020,1284,132,1416
0125C1030,1944,260,2204
0125C1040,2156,709,2865
0125C1050,1272,311,1583
0125C1060,1437,377,1814
0125C1070,1765,311,2076
0125C1080,2115,470,2585
0126A0010,1288,315,1603
0126C1010,1722,1088,2810
0126C1020,862,2163,3025
0126C1030,565,1431,1996
0126C1040,1174,626,1800
0126C1050,1279,477,1756
0126C1060,456,1396,1852
0126C1070,435,925,1360
0126C1080,603,2487,3090
0126C1090,367,1337,1704
0126C1100,894,598,1492
0126C1110,302,1997,2299
0126C1120,1547,402,1949
0126C1130,635,1484,2119
0126C1140,223,1588,1811
0126C1150,978,282,1260
0126C1160,757,1150,1907
0126C1170,1240,710,1950
0126C1180,526,972,1498
0126C1190,2134,1056,3190
0126C1200,1613,561,2174
0126C1210,1345,539,1884
0126C1220,1163,761,1924
0126C1230,1419,613,2032
0126C1240,1371,354,1725
0126C1250,1075,713,1788
0126C1260,2082,515,2597
0126C1270,1306,460,1766
0126C1280,1444,482,1926
0126C1290,1811,482,2293
0126C1300,1213,937,2150
0126C1310,1776,1501,3277
0126C1320,1078,613,1691
0126C1330,1370,414,1784
0126C1340,906,444,1350
0126C1350,2065,661,2726
0126C1360,1934,532,2466
0126C1370,303,843,1146
0126C1380,807,225,1032
0126C1390,1701,329,2030
0126C1400,1179,409,1588
0126C1410,1402,518,1920
0126C1420,356,1266,1622
0126C1430,1157,253,1410
0126C1440,998,256,1254
0126C1450,865,192,1057
0126C1460,2171,528,2699
0126C1470,1352,290,1642
0126C1480,1566,415,1981
0126C1490,170,800,970
0126C1500,1282,316,1598
0126C1510,301,1828,2129
0126C1520,179,985,1164
0126C1530,1625,804,2429
0126C1540,168,804,972
0126C1550,490,2044,2534
0126C1560,1167,687,1854
0126C1570,804,786,1590
0126C1580,1374,363,1737
0126C1590,1183,939,2122
0127A0010,1664,424,2088
0127A0020,474,1294,1768
0127C1010,689,254,943
0127C1020,1177,513,1690
0127C1030,1267,1489,2756
0127C1040,1002,723,1725
0127C1050,2040,1107,3147
0127C1060,1255,508,1763
0127C1070,942,704,1646
0127C1080,721,1963,2684
0127C1090,569,1779,2348
0127C1100,901,1092,1993
0127C1110,695,1316,2011
0127C1120,1286,273,1559
0127C1130,1144,294,1438
0127C1140,1211,554,1765
0127C1150,1728,782,2510
0127C1160,772,1116,1888
0127C1170,898,1247,2145
0127C1180,1935,1432,3367
0127C1190,1153,695,1848
0127C1200,1099,1049,2148
0127C1210,1129,623,1752
0127C1220,663,517,1180
0127C1230,787,356,1143
0127C1240,807,507,1314
0127C1250,1462,515,1977
0127C1260,1328,594,1922
0127C1270,382,1983,2365
0127C1280,390,1273,1663
0127C1290,243,1908,2151
0127C1300,147,1198,1345
0127C1310,123,1079,1202
0127C1320,552,1518,2070
0127C1330,149,1401,1550
0127C1340,287,1896,2183
0127C1350,358,2948,3306
0127C1360,192,1791,1983
0127C1370,270,1669,1939
0127C1380,107,958,1065
0127C1390,151,1212,1363
0127C1400,251,1866,2117
0127C1410,210,1776,1986
0127C1420,114,1778,1892
0127C1430,391,1660,2051
0127C1440,142,2152,2294
0127C1450,298,1009,1307
0127C1460,379,1241,1620
0127C1470,194,1745,1939
0127C1480,471,1003,1474
0128A0010,1662,400,2062
0128C1010,2307,524,2831
0128C1020,1336,478,1814
0128C1030,1200,1074,2274
0128C1040,1284,721,2005
0128C1050,1234,669,1903
0128C1060,1058,922,1980
0128C1070,1514,969,2483
0136A0010,661,86,747
0136A0020,1870,347,2217
0136A0030,1049,210,1259
0136B2010,1739,175,1914
0136C1010,1166,319,1485
0136C1020,1266,356,1622
0136C1030,1591,744,2335
0136C1040,2300,615,2915
0136C1050,1281,1012,2293
0136C1060,1393,315,1708
0136C1070,985,1088,2073
0136C1080,1794,653,2447
0136C1090,461,1733,2194
0136C1100,443,2196,2639
0136C1110,1399,1031,2430
0136C1120,397,1895,2292
0136C1130,346,1616,1962
0136C1140,627,615,1242
0136C1150,688,732,1420
0136C1160,1311,738,2049
0136C1170,1295,1427,2722
0136C1180,791,1186,1977
0136C1190,604,749,1353
0136C1200,895,1230,2125
0136C1210,714,625,1339
0136C1220,748,740,1488
0136C1230,853,1361,2214
0136C1240,521,1195,1716
0136C1250,1272,980,2252
0136C1260,526,1352,1878
0136C1270,562,1042,1604
0136C1280,439,781,1220
0136C1290,866,687,1553
0136C1300,1417,293,1710
0136C1310,3445,1867,5312
0136C1320,1209,821,2030
0136C1330,1208,399,1607
0136C1340,2347,1491,3838
0136C1350,1142,253,1395
0136C1360,1675,444,2119
0136C1370,1545,390,1935
0136C1380,1560,289,1849
0136C1390,1623,531,2154
0136C1400,1758,617,2375
0136C1410,879,167,1046
0136C1420,1345,215,1560
0136C1430,1750,333,2083
0136C1440,1596,286,1882
0136C1450,1610,494,2104
0138A0010,1199,209,1408
0138C1010,1484,312,1796
0138C1020,1827,263,2090
0138C1030,1436,298,1734
0138C1040,2077,427,2504
0138C1050,1490,373,1863
0138C1060,1626,306,1932
0138C1070,1725,297,2022
0138C1080,1648,634,2282
0138C1090,1741,522,2263
0138C1100,1375,233,1608
0138C1110,1869,346,2215
0138C1120,958,1459,2417
0138C1130,1025,1045,2070
0138C1140,1427,292,1719
0138C1150,1617,969,2586
0138C1160,1354,514,1868
0138C1170,2147,937,3084
0138C1180,977,293,1270
0138C1190,1077,136,1213
0138C1200,1184,612,1796
0138C1210,1424,534,1958
0138C1220,1140,150,1290
0138C1230,1515,288,1803
0138C1240,1432,181,1613
0138C1250,707,103,810
0139A0010,1706,1564,3270
0139A0020,1430,311,1741
0139B2010,998,708,1706
0139B2020,611,1556,2167
0139B2030,297,685,982
0139B2040,1051,1245,2296
0139B2050,572,1048,1620
0139B2060,640,532,1172
0139C1010,1811,1091,2902
0139C1020,915,951,1866
0139C1030,1911,585,2496
0139C1040,1295,932,2227
0139C1050,1899,1489,3388
0139C1060,1285,777,2062
0139C1070,1347,611,1958
0140A0010,1040,248,1288
0140A0020,1452,331,1783
0140C1010,2128,652,2780
0140C1020,2034,581,2615
0140C1030,1698,339,2037
0140C1040,959,202,1161
0160C1010,1683,231,1914
0160C1020,1295,197,1492
0160C1030,1372,274,1646
0160C1040,1555,312,1867
0160C1050,1871,721,2592
0160C1060,1371,381,1752
0160C1070,1487,267,1754
0160C1080,943,406,1349
0160C1090,1409,906,2315
0160C1100,766,526,1292
0160C1110,1273,209,1482
0160C1120,1578,277,1855
0160C1130,1009,230,1239
0160C1140,2643,1370,4013
0160C1150,1730,868,2598
0160C1160,1515,910,2425
0160C1170,1851,396,2247
0160C1180,1129,240,1369
0160C1190,997,275,1272
0160C1200,1072,787,1859
0160C1210,2061,516,2577
0160C1220,1296,765,2061
0160C1230,1317,614,1931
0160C1240,1632,325,1957
0160C1250,1566,391,1957
0160C1260,1560,495,2055
0160C1270,1450,394,1844
0160C1280,1391,354,1745
0160C1290,732,679,1411
0160C1300,1897,542,2439
0160C1310,1154,284,1438
0160C1320,1565,394,1959
0160C1330,1246,295,1541
0160C1340,2368,1298,3666
0160C1350,1335,364,1699
0160C1360,1686,427,2113
0160C1370,1994,434,2428
0160C1380,1629,355,1984
0162C1010,1447,375,1822
0162C1020,1392,306,1698
0162C1030,1151,231,1382
0162C1040,943,524,1467
0162C1050,1346,331,1677
0162C1060,752,295,1047
0162C1070,1285,289,1574
0162C1080,1128,252,1380
0162C1090,1152,477,1629
0162C1100,1172,413,1585
0162C1110,1503,344,1847
0162C1120,1285,283,1568
0162C1130,1497,288,1785
0162C1140,1462,700,2162
0162C1150,1200,258,1458
0162C1160,1249,386,1635
0162C1170,1262,311,1573
0162C1180,1509,342,1851
0162C1190,1489,262,1751
0162C1200,1538,263,1801
0163C1010,2180,963,3143
0163C1020,1702,432,2134
0163C1030,489,1261,1750
0163C1040,1369,745,2114
0163C1050,1630,314,1944
0163C1060,1498,554,2052
0163C1070,1225,840,2065
0163C1080,1212,172,1384
0163C1090,201,928,1129
0163C1100,477,1427,1904
0163C1110,1284,627,1911
0163C1120,222,1520,1742
0163C1130,1046,364,1410
0163C1140,1985,614,2599
0163C1150,1183,779,1962
0163C1160,945,925,1870
0163C1170,1081,615,1696
0163C1180,907,970,1877
0163C1190,1216,396,1612
0163C1200,1476,388,1864
0163C1210,1442,730,2172
0163C1220,1371,1020,2391
0163C1230,993,419,1412
0163C1240,1504,693,2197
0163C1250,659,1206,1865
0163C1260,732,1245,1977
0163C1270,1001,1001,2002
0163C1280,1457,322,1779
0163C1290,1725,825,2550
0163C1300,1567,433,2000
0163C1310,2272,1219,3491
0163C1320,1247,372,1619
0163C1330,1217,408,1625
0163C1340,1632,437,2069
0163C1350,656,949,1605
0163C1360,1252,360,1612
0163C1370,939,645,1584
0163C1380,1554,316,1870
0163C1390,458,493,951
0163C1400,601,703,1304
0180C1010,850,996,1846
0180C1020,930,892,1822
0180C1030,1490,402,1892
0180C1040,1247,1186,2433
0180C1050,1699,930,2629
0180C1060,1192,822,2014
0180C1070,622,758,1380
0180C1080,853,713,1566
0180C1090,705,895,1600
0180C1100,1634,1141,2775
0180C1110,1645,563,2208
0180C1120,512,930,1442
0180C1130,812,623,1435
0180C1140,524,1075,1599
0180C1150,655,777,1432
0180C1160,459,1263,1722
0180C1170,1764,429,2193
0180C1180,1200,471,1671
0180C1190,1110,826,1936
0180C1200,439,1103,1542
0180C1210,1236,720,1956
0180C1220,1549,806,2355
0180C1230,492,1521,2013
0180C1240,2611,1026,3637
0180C1250,1620,983,2603
0180C1260,1098,548,1646
0180C1270,1408,271,1679
0180C1280,599,1181,1780
0180C1290,1454,598,2052
0180C1300,353,1025,1378
0180C1310,1361,553,1914
0180C1320,1222,983,2205
0180C1330,492,1487,1979
0180C1340,535,1479,2014
0180C1350,1212,882,2094
0180C1360,709,1225,1934
0180C1370,1112,953,2065
0180C1380,678,1124,1802
0180C1390,1399,496,1895
0180C1400,1484,481,1965
0180C1410,1535,524,2059
0180C1420,1020,265,1285
0180C1430,1341,217,1558
0180C1440,1169,660,1829
0180C1450,1272,1127,2399
0180C1460,1183,919,2102
0180C1470,1050,864,1914
0180C1480,979,604,1583
0180C1490,337,1254,1591
0180C1500,748,1345,2093
0180C1510,832,928,1760
0180C1520,879,861,1740
0180C1530,1331,700,2031
0180C1540,921,524,1445
0180C1550,1682,339,2021
0180C1560,325,1698,2023
0180C1570,1460,434,1894
0180C1580,1139,445,1584
0180C1590,503,2194,2697
0180C1600,971,810,1781
0180C1610,1455,666,2121
0180C1620,1311,183,1494
0180C1630,1416,202,1618
0180C1640,1206,396,1602
0180C1650,1714,264,1978
0180C1660,258,1274,1532
0180C1670,1638,243,1881
0180C1680,138,1568,1706
0180C1690,629,1013,1642
0180C1700,1777,247,2024
0180C1710,1553,522,2075
0180C1720,367,1461,1828
0180C1730,683,1104,1787
0180C1740,1216,266,1482
0180C1750,1130,406,1536
0180C1760,984,323,1307
0180C1770,1441,512,1953
0180C1780,250,1551,1801
0180C1790,1621,405,2026
0180C1800,1042,367,1409
0180C1810,1375,121,1496
0180C1820,1836,381,2217
0180C1830,1807,321,2128
0180C1840,1332,485,1817
0180C1850,1123,289,1412
0180C1860,487,1848,2335
0180C1870,1955,1886,3841
0180C1880,1460,575,2035
0180C1890,1513,227,1740
0180C1900,1047,519,1566
0180C1910,516,1202,1718
0180C1920,1385,509,1894
0180C1930,2163,562,2725
0180C1940,1617,577,2194
0180C1950,1356,606,1962
0180C1960,1084,203,1287
0180C1970,1234,203,1437
0180C1980,1197,613,1810
0180C1990,1218,265,1483
0180C2000,1075,406,1481
0180C2010,678,1323,2001
0180C2020,834,526,1360
0180C2030,1542,945,2487
0180C2040,597,879,1476
0180C2050,1467,399,1866
0180C2060,484,1386,1870
0180C2070,1131,889,2020
0180C2080,1298,388,1686
0180C2090,1399,550,1949
0180C2100,1196,250,1446
0180C2110,2156,1312,3468
0180C2120,1532,192,1724
0180C2130,1609,363,1972
0180C2140,1306,799,2105
0180C2150,775,1561,2336
0180C2160,481,1294,1775
0180C2170,1097,262,1359
0180C2180,1297,729,2026
0180C2190,1400,257,1657
0180C2200,920,569,1489
0180C2210,734,723,1457
0180C2220,881,1148,2029
0180C2230,1127,318,1445
0180C2240,1548,363,1911
0180C2250,542,1875,2417
0180C2260,863,677,1540
0180C2270,1310,477,1787
0180C2280,1163,802,1965
0180C2290,1168,1031,2199
0180C2300,1816,566,2382
0180C2310,1384,745,2129
0180C2320,1555,438,1993
0180C2330,1477,577,2054
0180C2340,526,1577,2103
0180C2350,1506,469,1975
0180C2360,1143,435,1578
0180C2370,1267,351,1618
0180C2380,1230,334,1564
0180C2390,1290,405,1695
0180C2400,1175,492,1667
0180C2410,1377,314,1691
0180C2420,1352,424,1776
0180C2430,2214,841,3055
0180C2440,1713,549,2262
0180C2450,1079,570,1649
0180C2460,1773,562,2335
0180C2470,1016,621,1637
0180C2480,1304,561,1865
0180C2490,1391,304,1695
0180C2500,584,1276,1860
0180C2510,1606,514,2120
0180C2520,978,381,1359
0180C2530,1479,458,1937
0180C2540,1689,460,2149
0180C2550,733,1173,1906
0180C2560,1316,322,1638
0180C2570,1486,664,2150
0180C2580,1728,292,2020
0180C2590,1534,421,1955
0180C2600,1366,263,1629
0180C2610,1546,408,1954
0180C2620,2143,698,2841
0180C2630,1216,398,1614
0180C2640,1449,300,1749
0180C2650,1117,352,1469
0180C2660,1186,300,1486
0180C2670,1292,355,1647
0180C2680,1369,451,1820
0180C2690,1205,459,1664
0180C2700,1706,361,2067
0180C2710,1634,403,2037
0180C2720,1245,354,1599
0180C2730,1365,475,1840
0180C2740,1398,390,1788
0180C2750,1442,370,1812
0180C2760,1087,402,1489
0180C2770,1506,402,1908
0180C2780,2478,861,3339
0180C2790,1374,568,1942
0180C2800,1545,420,1965
0180C2810,1519,577,2096
0180C2820,899,261,1160
0180C2830,1239,313,1552
0180C2840,1474,466,1940
0180C2850,1072,447,1519
0180C2860,1621,493,2114
0180C2870,1084,270,1354
0180C2880,2378,688,3066
0180C2890,1306,304,1610
0180C2900,1713,423,2136
0180C2910,1305,307,1612
0180C2920,1360,456,1816
0180C2930,1342,406,1748
0180C2940,1616,367,1983
0180C2950,3247,1573,4820
0180C2960,1626,498,2124
0180C2970,1337,469,1806
0180C2980,1008,298,1306
0180C2990,608,600,1208
0180C3000,1223,360,1583
0180C3010,620,648,1268
0180C3020,1032,272,1304
0180C3030,974,297,1271
0180C3040,1311,235,1546
0180C3050,1370,423,1793
0180C3060,813,429,1242
0180C3070,1447,479,1926
0180C3080,971,326,1297
0180C3090,1019,353,1372
0180C3100,1994,582,2576
0180C3110,1086,426,1512
0180C3120,1207,522,1729
0180C3130,1190,307,1497
0180C3140,1415,361,1776
0180C3150,1104,273,1377
0180C3160,1482,469,1951
0180C3170,1289,302,1591
0180C3180,1496,380,1876
0180C3190,1571,398,1969
0180C3200,1613,361,1974
0180C3210,1169,293,1462
0180C3220,1465,283,1748
0180C3230,1226,464,1690
0180C3240,1486,253,1739
0180C3250,1506,346,1852
0180C3260,1373,741,2114
0180C3270,1308,437,1745
0180C3280,1124,284,1408
0180C3290,1185,330,1515
0180C3300,1485,467,1952
0180C3310,1120,420,1540
0180C3320,1591,482,2073
0180C3330,1646,658,2304
0180C3340,1328,454,1782
0180C3350,1446,452,1898
0180C3360,1602,393,1995
0180C3370,1618,434,2052
0180C3380,1049,251,1300
0180C3390,1379,269,1648
0180C3400,1399,462,1861
0180C3410,1110,166,1276
0180C3420,920,419,1339
0180C3430,1352,321,1673
0180C3440,1278,337,1615
0180C3450,1585,315,1900
0180C3460,1205,371,1576
0180C3470,1047,263,1310
0180C3480,1775,561,2336
0180C3490,1178,255,1433
0180C3500,1078,242,1320
0180C3510,1595,282,1877
0180C3520,1449,391,1840
0180C3530,1220,219,1439
0180C3540,1203,289,1492
0180C3550,1403,329,1732
0180C3560,1088,332,1420
0180C3570,1234,364,1598
0180C3580,1415,494,1909
0180C3590,1269,229,1498
0180C3600,1184,307,1491
0180C3610,1383,138,1521
0180C3620,1504,341,1845
0180C3630,1093,263,1356
0180C3640,1247,294,1541
0180C3650,1471,310,1781
0180C3660,834,244,1078
0180C3670,1025,308,1333
0180C3680,1133,271,1404
0180C3690,1334,303,1637
0180C3700,1154,266,1420
0180C3710,1037,209,1246
0180C3720,1144,162,1306
0180C3730,1111,310,1421
0180C3740,1183,281,1464
0180C3750,1335,385,1720
0180C3760,1249,164,1413
0180C3770,1051,216,1267
0180C3780,864,157,1021
0180C3790,1202,303,1505
0180C3800,1141,224,1365
0180C3810,1120,282,1402
0180C3820,1268,295,1563
0180C3830,1408,309,1717
0180C3840,1576,180,1756
0180C3850,1468,194,1662
0180C3860,1203,329,1532
0180C3870,1271,413,1684
0180C3880,1284,353,1637
0180C3890,1148,374,1522
0180C3900,1188,285,1473
0180C3910,1703,304,2007
0180C3920,678,137,815
0180C3930,1149,269,1418
0180C3940,1193,323,1516
0180C3950,1000,256,1256
0180C3960,974,265,1239
0180C3970,1179,293,1472
0180C3980,1228,321,1549
0180C3990,1168,274,1442
0180C4000,1419,162,1581
0180C4010,1131,275,1406
0180C4020,1242,356,1598
0180C4030,1112,247,1359
0180C4040,1403,761,2164
0180C4050,1320,488,1808
0180C4060,1863,414,2277
0180C4070,1212,191,1403
0180C4080,1220,365,1585
0180C4090,1088,284,1372
0180C4100,1088,248,1336
0180C4110,1516,259,1775
0180C4120,1211,287,1498
0180C4130,1115,329,1444
0180C4140,1515,360,1875
0180C4150,1242,342,1584
0180C4160,1111,279,1390
0180C4170,1128,476,1604
0180C4180,1525,422,1947
0180C4190,1167,343,1510
0180C4200,1519,184,1703
0180C4210,1295,340,1635
0180C4220,1319,425,1744
0180C4230,1175,316,1491
0180C4240,1229,499,1728
0180C4250,1214,363,1577
0180C4260,1223,602,1825
0180C4270,731,345,1076
0180C4280,1568,534,2102
0180C4290,1549,345,1894
0180C4300,1338,396,1734
0180C4310,1438,404,1842
0180C4320,1097,580,1677
0180C4330,1155,395,1550
0180C4340,1155,321,1476
0180C4350,1088,317,1405
0180C4360,1352,504,1856
0180C4370,1250,333,1583
0180C4380,1453,327,1780
0180C4390,901,202,1103
0180C4400,1087,383,1470
0180C4410,1264,419,1683
0180C4420,1045,258,1303
0180C4430,956,312,1268
0180C4440,1216,347,1563
0180C4450,1453,325,1778
0180C4460,1756,777,2533
0180C4470,1016,648,1664
0180C4480,1141,347,1488
0180C4490,1270,488,1758
0180C4500,1035,370,1405
0180C4510,1533,153,1686
0180C4520,1335,763,2098
0180C4530,1741,790,2531
0180C4540,1082,280,1362
0180C4550,939,357,1296
0180C4560,1363,343,1706
0180C4570,987,284,1271
0180C4580,1661,545,2206
0180C4590,1122,319,1441
0180C4600,1322,496,1818
0180C4610,1390,329,1719
0180C4620,1102,464,1566
0180C4630,1392,449,1841
0180C4640,1611,279,1890
0180C4650,1186,316,1502
0180C4660,1197,289,1486
0180C4670,1164,365,1529
0180C4680,1018,206,1224
0180C4690,1063,253,1316
0180C4700,2107,572,2679
0180C4710,1618,522,2140
0180C4720,1315,263,1578
0180C4730,1398,558,1956
0180C4740,1278,260,1538
0180C4750,1082,252,1334
0180C4760,959,271,1230
0180C4770,1436,402,1838
0180C4780,1272,294,1566
0180C4790,1281,270,1551
0180C4800,1264,310,1574
0180C4810,1094,183,1277
0180C4820,1336,347,1683
0180C4830,1275,387,1662
0180C4840,1204,516,1720
0180C4850,1337,225,1562
0180C4860,1627,345,1972
0180C4870,1484,310,1794
0180C4880,1223,307,1530
0180C4890,1009,241,1250
